Question_ID,question,answer
1715,I'm questioning my sexuality,"Being open minded about the type of sexual connection which feels true and real, is a solid starting point. Having questions is a very valuable way of more clearly defining your sexuality. Write one or two of your questions if you'd like a more specific focus to your general search about your sexual preference."
1953,Is there reason to think it is normal to cry at therapy?,"Yes, it is very normal to cry during a therapy appointment. When you meet with a counselor, you are opening yourself up and sharing very vulnerable sides of yourself. Through this deep introspection, emotions (sometimes unexpected) can come out and this is completely okay and very healthy. Research has shown that crying reduces pain by releasing oxytocin and endorphins and reduces stress through the release of stress reduction hormones."
507,What can help me talk to my psychologist about upping my dose of Xanax?,"Staying on the lower dose may give you more room to learn strategies for coping with your anxiety. Medications are so helpful, and needed at times, but it's also important to have a varietyof tools you use to manage your responses to stress. If you are not already seeing a therapist, consider finding one who can help you learn some effective strategies, like replacing self-defeating thoughts with ones that work better for you, or mindfulness, relaxation, or other tools to keep your anxiety in the manageable range!"
1378,"I need help understanding: Should I talk honestly to my brother about his girlfriend, risking our own relationship","This is tricky and quite delicate. I wonder if you could talk with your brother about whether they would be willing to have a discussion with you about something that is important to you. I would also suggest trying to make clear your true intentions. For example: Telling them that they has the right to do what they wants with who they chooses to date That you are talking to them about this because you care about them That your relationship with them is important to you and that you love them and care about them Also try to stick to examples or ideas that are objectively observable (for example, when this happens ___, I notice ___). That way you are using facts rather than opinions and things that can be observed rather than subjective emotional decisionsI would also be curious with what your brother sees in this girl, and I might even recommend starting with thatI cannot underline enough the importance of having this come across as genuine, and for lack of a better word, gentle. I also be very honest with you that I cannot guarantee that they will react positively, neutrally, or even that they will have the discussion with you. Because it is true that they could choose to continue dating this girl and perhaps even hold it against you for a while, I would also encourage you to look at the importance of this to you and where you consider the risk-benefit ratio to be."
916,What is the best way to find myself?,"This is perhaps the deepest question that one can ask of themselves and the answer is as elusive as the deepest enigma. We are fluid beings, we are never the same from day to day, we learn or unlearn, we evolve or some of us even devolve, we are in a state of constant flux, changing and adapting, like a cloud in the sky that has its shape changed by the wind, life whittles us away and carves us constantly, trying to understand this question is like trying to bite your own teeth, however we can have a sense of what we would call our core and to understand the core, we need to live and to experience, but also to think deeply, analytically, and critically, by engaging with life we get a sense that we are like the Earth itself, inside of us there is a core, just as there is inside our planet but our continents shift and change over time, like those continents so does our own nature shift throughout our lives."
450,"Do I text, call, or make contact first, the same day of the morning I left his house?","It is possible your question reflects some insecurity about whether or not either or you would like this relationship to continue. Otherwise, the answer to your question would appear naturally. If you genuinely feel close enough to this person to sleep with them, then who texts whom first, wouldn't really matter too much. Try to understand within yourself whether you feel truly interested in this person as much as you would like to feel toward someone."
1617,My boyfriend says he needs time to think about us,"Give them the time and space they needs. Obviously something is going on with them that they needs time to process, think about, and work through. Respect that most men are not talkers but more thinkers. If and when they is ready to talk, they will. When and if they does talk, be a comforting listener and put yourself in their shoes the best you can to be the support they needs. Don't take it personal because you just been dating 3 weeks and their depression maybe something that been going on for a while. If you do like them... showing them by being patient and supportive at this time."
1783,"I told my family doctor yesterday, that I am hoarding my Ativan pills. Is he legally required to tell my psychiatrist or therapist?","Your doctor might be required to tell your psychiatrist - especially if your doctor is concerned about your safety. It was definitely a good thing that you told your primary care physician about what is going on. I know that must have been difficult to talk about with them. By having that conversation, you are helpingyour primary care physician and your psychiatrist work together to best support your health."
196,What can help me make myself happy without someone who made me happy?,"It sounds like you have been feeling pretty down, since the loss of a relationship, and you're wondering how to be happy by yourself. Intimacy is a very natural human desire and at the same time learning to enjoy ourselves, even when we are alone, can strengthen our ability to lead a satisfying life in and out of relationship. Working with a therapist, you may be able to gain insight into how you show up in your relationships with yourself and others and discover more fulfilling ways to do so."
109,Why do I crave depression?,"It sounds like you are noticing that you are drawn towards sad and negative content and it's hard to understand why. This may sound counter-intuitive, but sometimes we do things that on the surface may look problematic (or even cause us some real problems) because it serves us in some unseen way. A simple example would be somebody who is addicted to a substance; their addiction may be causing serious problems in their life, and they may even know it, but the addiction serves them by helping them to avoid painful feelings that they anticipate having if they quit using. Now I am not saying that what you describe is an addiction, it is just a really illustrative example of the unseen benefit. One thing I would be wondering about is what is the unseen benefit of seeking out sad and negative content? I'd also be wondering what your relationship is to other feelings. These are things you may benefit from exploring with a competent therapist."
1309,I'm addicted to smoking. How can I stop?,"Hi. Good for you in planning ahead to do what's healthiest for your baby (and yourself). That's a great first step! It's also good that you are able to identify that it's not always a physical need that's driving the addiction. For the next steps, I would suggest trying to figure out when the psychological cravings for a cigarette occur. The psychological (or mental) cravings are usually based out of habit, such as having a cigarette after a meal. And if you're consciously trying to quit, you'll find the craving starts with simply thinking about having a cigarette, then usually moves on to thinking about how good it made you feel, etc., etc. Well, if I'm on a diet and I continue to let myself think about the ice cream sitting in the freezer, eventually I'll give in and eat it. You're going to have thoughts about smoking a cigarette. That's normal and, for the most part, out of your control. But you choose whether or not to CONTINUE thinking and dwelling about it after that initial thought. That's what you would have to work on changing. When you have that initial thought, acknowledge it (""Ok, I kind of want a cigarette now. ""), but then change the thoughts that typically follow. Distract yourself, think about something else, do something else, whatever it takes to get your mind off of that cigarette. I've suggested to clients before that they should plan these scenarios out ahead of time so they already know what they're going to do when the time comes. Write down when you usually have the craving for a cigarette and then write down new thoughts or things to do to get your mind off of it. Eventually, it will become easier and easier to brush off that initial thought until you no longer have it. Best of luck, and you have a really great motivator to quit - your baby!"
1183,What is the reason can't I get an erection with my girlfriend?,"This is something I havehad to address with individuals often since working with couples is one of mypractice's focuses. The answer can depend upon several reasons all whichtend to be explored while in session. If you or your counselor utilizesan integral approach, in which one of the main premises makes sure to check thefour irreducible perspectives (subjective, intersubjective, objective andinterobjective """" also known as the four quadrants) in determining where thechallenges are, it then becomes possible to identify what might be contributingto or causing the challenge as well as offering up ways to address thesituation. In this case, from the upper-rightor behavioral and physical perspective, we would want to make sure there is nophysical limitation or ailment meaning that you would need to visit your doctorand have the basics checked (such as blood pressure. We would also look at particular behaviors tosee if you are doing something with is effecting performance (such asmasturbating often or being influenced by pornography). Next we would look at theupper left quadrant (thoughts, cognitions, identity, feelings) to look at whatis going on here both during sexual activities and at other times. If you are worried about your job, yourfamily or under immense pressure to perform at work or while intimate, this cancontribute to your situation. From therewe would turn to the lower left quadrant (cultural rules and tools) to see whoyou have learned to interpret challenges that come up during sex and look forways to shift, update and/or reshape the way you view sex and itschallenges. It would be here that wewould see whether one is even comfortable using a service like counseling basedupon how your family/culture of origin views the profession. Finally, we would need toaccount for challenges that show up in the lower right quadrant (systems, laws, rules of society) such as your economic ability to try services and products aswell as whether such services and products were even available. Once we have rolled through these areas itthen becomes possible to look at which aspects might need to be looked atfurther in a more meaningful way to help you change a perspective or if justgetting a blood pressure medication is all you need. To sum your question thenof why you can't keep an erection we would need to look at your thoughts (lookat your actual thoughts during the act as well as before and after), look atyour behaviors, look at your physical body for issues, look at where you pickedup your rules and tools (culture) and look at your ability to access goods andservices. They all contribute equallyand need to be taken into account. So - as you can see, there is no one possible answer to this, but several. I hope this helps."
